id,Open,High,Low,Close,Adj Close,Volume,Date
68,16651.099609,16729.699219,16250.200195,16485.599609,15906.298828,69766,2015-11-26
69,16525.099609,17050,16510,16596.400391,16013.206055,67722,2015-11-27
70,16690,16861.099609,16598.099609,16728.900391,16141.050781,59467,2015-11-30
71,16877,16879.800781,16204.900391,16237.5,15666.916992,61435,2015-12-01
72,16380,16500,16083.900391,16360.700195,15785.789063,43255,2015-12-02
73,16330,16765,16243.5,16692.300781,16105.736328,82818,2015-12-03
74,16590,16679.800781,16360,16428.900391,15851.591797,36679,2015-12-04
75,16460,16575,16201,16230.799805,15660.452148,21383,2015-12-07
76,16229,16530,16177.099609,16307.099609,15734.070313,25507,2015-12-08
77,16300,16370.299805,15658.5,15728.099609,15175.417969,46466,2015-12-09
78,15884.799805,16100,15680.200195,16039.799805,15476.165039,43836,2015-12-10
79,16050,16100,15450,15560.799805,15013.996094,61454,2015-12-11
80,15350,15575,15100,15366.5,14826.524414,65944,2015-12-14
81,15399,15925,15270,15862,15304.611328,41885,2015-12-15
82,15900,16280,15900,16063.799805,15499.321289,38232,2015-12-16
83,16140,16380,15990,16277.099609,15705.125,30970,2015-12-17
84,16216,16270.200195,15945.200195,16160.299805,15592.429688,111888,2015-12-18
85,16100.099609,16332.400391,15969.900391,16031,15467.674805,37808,2015-12-21
86,16100,16190,16010,16075.799805,15510.900391,16596,2015-12-22
87,16175.799805,16240,16010.200195,16189.799805,15620.893555,17287,2015-12-23
88,16201,16300,16114.5,16172.200195,15603.913086,12304,2015-12-24
89,16198.900391,16650,16198,16598.599609,16015.329102,38140,2015-12-28
90,16601,16735.199219,16508,16703.099609,16116.157227,27763,2015-12-29
91,16699,16703,16439.800781,16529.800781,15948.946289,28898,2015-12-30
92,16590,16920,16541.900391,16855.599609,16263.296875,34039,2015-12-31
93,16879,17689.599609,16772.699219,17370.800781,16760.394531,59966,2016-01-01
94,17519.900391,17974.900391,17440.099609,17495.300781,16880.519531,91743,2016-01-04
95,17575,17771.199219,17110.900391,17159.900391,16556.904297,56349,2016-01-05
96,17287,17614.900391,17220,17525.099609,16909.271484,48794,2016-01-06
97,17390,17448.300781,16919.5,17035.699219,16437.066406,49624,2016-01-07
98,17060,17480,17060,17241.400391,16635.539063,28252,2016-01-08
99,17160,17410,16903,17239.099609,16633.320313,30291,2016-01-11
100,17399.800781,17400,16980.900391,17066.800781,16467.076172,29690,2016-01-12
101,17288,17288,16674.699219,17062.699219,16463.119141,45070,2016-01-13
102,16890,17095.199219,16749.900391,16988,16391.044922,37067,2016-01-14
103,17010,17188,16051,16240.799805,15670.100586,33970,2016-01-15
104,16247.299805,16277,15250,15459.5,14916.255859,48522,2016-01-18
105,15450,15911.400391,14800,15823.799805,15267.753906,62933,2016-01-19
106,15601,15735.5,15030,15538.799805,14992.769531,43884,2016-01-20
107,15788.799805,15911.900391,15380,15552.200195,15005.699219,45859,2016-01-21
108,15885,16583.099609,15705.099609,16472.400391,15893.5625,55039,2016-01-22
109,16777.5,16777.5,16355.5,16416.199219,15839.336914,22832,2016-01-25
110,16454,16476.699219,16112,16232.099609,15661.706055,26550,2016-01-27
111,16232,16288,15889,15959,15398.205078,37067,2016-01-28
112,16000,16650.900391,15844.099609,16546.599609,15965.155273,57402,2016-01-29
113,16800,17109,16600.199219,17073.800781,16473.830078,43914,2016-02-01
114,17199,17397,17002,17197.099609,16592.798828,49134,2016-02-02
115,17010,17218,16617.400391,16754.199219,16165.459961,64166,2016-02-03
116,16901,17297,16750,16894.300781,16300.637695,46813,2016-02-04
117,17060,18450,16898.400391,18119.199219,17482.494141,216944,2016-02-05
118,18374,18888.699219,18230,18384.800781,17738.763672,103277,2016-02-08
119,18200,18368.699219,17977.599609,18175.800781,17537.107422,36583,2016-02-09
120,18137,18231.5,17810,17909.900391,17280.546875,48806,2016-02-10
121,17750,18000,17562.199219,17619.300781,17000.162109,125878,2016-02-11
122,17720,18250,17397.800781,17993.699219,17361.404297,81774,2016-02-12
123,18275.300781,18900,18275.300781,18772.199219,18112.548828,56482,2016-02-15
124,18900,18910.900391,18636,18690.300781,18033.525391,85974,2016-02-16
125,18700,19250,18519,18802.5,18141.783203,182056,2016-02-17
126,18999.900391,18999.900391,18523.599609,18694.599609,18037.673828,60123,2016-02-18
127,18550,18898.900391,18223.599609,18626.400391,17971.875,28356,2016-02-19
128,18798,19000,18675.099609,18918.699219,18253.900391,25491,2016-02-22
129,19101,19194.900391,18900,19003.800781,18336.011719,47605,2016-02-23
130,18937.199219,19420,18777.300781,19094.699219,18423.712891,38130,2016-02-24
