id,Open,High,Low,Close,Adj Close,Volume,Date
67,640,646.799988,635,637.299988,624.541138,909556,2015-11-24
68,639.799988,641.900024,633.099976,634.549988,621.846069,1319195,2015-11-26
69,637.400024,645.700012,635.549988,643.650024,630.763977,1110713,2015-11-27
70,643,651.5,639,643.650024,630.763977,2146672,2015-11-30
71,645.5,650,645,648.549988,635.565796,670534,2015-12-01
72,648.599976,661.400024,648.5,658.400024,645.21875,1610659,2015-12-02
73,652.75,656,642.25,651.200012,638.162842,1484709,2015-12-03
74,649.650024,655,643.599976,645.799988,632.870911,1127553,2015-12-04
75,647.950012,654,640.099976,645.200012,632.28302,921343,2015-12-07
76,642,648.5,638.400024,642.599976,629.735046,730708,2015-12-08
77,642.049988,644.900024,620,623.799988,611.311279,1044192,2015-12-09
78,625.049988,640.849976,622,636.799988,624.051086,1030589,2015-12-10
79,636.549988,642.950012,630.75,639.25,626.452087,1104857,2015-12-11
80,637.900024,643.799988,631.049988,637.049988,624.296082,721113,2015-12-14
81,637.049988,641.5,636.549988,638.900024,626.109009,948636,2015-12-15
82,642.950012,643.950012,637.099976,638.650024,625.864075,1166504,2015-12-16
83,639,644.950012,636.299988,642.900024,630.028992,1333918,2015-12-17
84,642.799988,649.299988,640.099976,642.099976,629.244995,995474,2015-12-18
85,649.799988,649.799988,641.099976,643.700012,630.812927,738842,2015-12-21
86,643.950012,648,641.5,644.200012,631.302917,508379,2015-12-22
87,646,649.400024,644.5,647.450012,634.487854,342498,2015-12-23
88,648.799988,654.400024,645.200012,648.200012,635.222839,395801,2015-12-24
89,648.150024,659.450012,647.299988,657.599976,644.434631,793844,2015-12-28
90,660,660,652,653.849976,640.759705,472504,2015-12-29
91,653.799988,657,650.099976,653.200012,640.122742,587218,2015-12-30
92,653,655,647.200012,649.75,636.741821,765254,2015-12-31
93,653.200012,658.450012,648.5,655.349976,642.229675,556012,2016-01-01
94,652.049988,653.799988,639.400024,645.650024,632.723877,631534,2016-01-04
95,646.200012,649.950012,638.049988,640.849976,628.019958,642269,2016-01-05
96,639.700012,655.950012,638.700012,652.099976,639.044739,1234096,2016-01-06
97,648,650,629,637.450012,624.68811,732335,2016-01-07
98,637.299988,645,614,622.349976,609.890381,1553402,2016-01-08
99,617.400024,617.400024,604.25,610.049988,597.83667,1668698,2016-01-11
100,609,616.900024,605.700012,611.450012,599.208618,1278522,2016-01-12
101,615.25,615.950012,596.099976,608.650024,596.464722,794118,2016-01-13
102,603.400024,617.049988,596.75,614.299988,602.001587,986574,2016-01-14
103,616,616.950012,602.349976,609.099976,596.90564,1119442,2016-01-15
104,608,608.049988,586.400024,591.049988,579.21698,1435098,2016-01-18
105,590.349976,600.799988,583,598.049988,586.076904,849433,2016-01-19
106,594.799988,603.150024,588,593.150024,581.275024,1002709,2016-01-20
107,600.25,601.450012,576.549988,580.25,568.633301,1452498,2016-01-21
108,582.799988,588.5,577.400024,581.900024,570.250244,1297154,2016-01-22
109,590,590,579.200012,580.599976,568.976135,910559,2016-01-25
110,582,587.650024,572.299988,580.5,568.878235,982504,2016-01-27
111,581,585.5,575,577.799988,566.2323,1336930,2016-01-28
112,579.950012,592,578.099976,585.099976,573.386108,1146060,2016-01-29
113,591.900024,605.950012,589.150024,599.450012,587.448914,1045333,2016-02-01
114,601,606.049988,562,574,562.508362,1779141,2016-02-02
115,570,578.799988,559.400024,562.049988,550.797607,1188642,2016-02-03
116,567,570.400024,540.049988,550.400024,539.380859,1614064,2016-02-04
117,555,573.299988,544.099976,570.150024,558.735474,864080,2016-02-05
118,574.950012,575.75,561.099976,566.849976,555.501404,1264314,2016-02-08
119,564.900024,571.200012,551.099976,555.849976,544.72168,1357674,2016-02-09
120,555,558.950012,534,538.599976,527.817017,2425499,2016-02-10
121,530,548.700012,517.299988,540.849976,530.022034,5647601,2016-02-11
122,543,543.549988,525.049988,528.599976,518.017212,1981976,2016-02-12
123,533.049988,542,528.5,539.700012,528.895142,2467275,2016-02-15
124,545.950012,549.5,520.450012,524.049988,513.55835,2664696,2016-02-16
125,526,526.5,513.400024,519.099976,508.707458,1924596,2016-02-17
126,527.099976,529.400024,520.599976,524.400024,513.901367,1967772,2016-02-18
127,525.950012,531,519.200012,524.650024,514.146362,1054082,2016-02-19
128,529.349976,531.849976,525,530.5,519.879211,1236400,2016-02-22
129,531.900024,532.900024,517.5,522.599976,512.137329,1047760,2016-02-23
130,522.200012,523.049988,510.5,513.950012,503.660614,1836770,2016-02-24
131,518,521.799988,510,519,508.609497,2723564,2016-02-25
132,522.849976,527.75,519,524,513.509399,1985528,2016-02-26
133,528,528,505,514.150024,503.856567,3487816,2016-02-29
134,515,521.400024,509.600006,516.349976,506.012482,2146110,2016-03-01
135,523.5,532,519.400024,525.599976,515.077332,3422308,2016-03-02
136,530,531,523.400024,527.099976,516.547241,3101778,2016-03-03
137,533.700012,545.599976,530.25,537.700012,526.935059,2693406,2016-03-04
138,539.799988,549.700012,528.799988,532.349976,521.6922,1409496,2016-03-08
139,533.849976,535,521.349976,529.299988,518.703247,4376676,2016-03-09
140,530.200012,540.200012,530,533.950012,523.260254,3609343,2016-03-10
141,534.5,538.549988,530.950012,534.599976,523.897095,2806975,2016-03-11
142,538,543.75,530.099976,537.599976,526.837097,3909833,2016-03-14
143,538.599976,539,522,525.049988,514.53833,2961527,2016-03-15
144,524.900024,534.799988,516.200012,531,520.369202,2221318,2016-03-16
145,536.299988,537,521.549988,524.549988,514.048279,2100095,2016-03-17
146,529,530.049988,517.5,528.25,517.674377,4345885,2016-03-18
147,530,538.400024,527.5,535.849976,525.122131,1221223,2016-03-21
148,537.5,539,531.049988,535.299988,524.58313,1529194,2016-03-22
149,534.799988,536.299988,525.549988,532.799988,522.133179,1361735,2016-03-23
150,536.299988,537.349976,522.099976,524.200012,513.705383,1947564,2016-03-28
151,521.049988,525,494.549988,503.5,493.4198,6503207,2016-03-29
152,506.950012,516.5,502.5,512.349976,502.09256,4372138,2016-03-30
153,513,518,507.899994,511.950012,501.700623,3086978,2016-03-31
154,513.799988,517.299988,510,514.549988,504.248566,1239447,2016-04-01
155,519,519,512.150024,514.299988,504.00354,768318,2016-04-04
156,513,516,501.450012,503,492.92981,1086907,2016-04-05
157,503.350006,507.5,497,504.950012,494.84079,1820374,2016-04-06
158,505.75,513.049988,501.700012,506.399994,496.261719,2102922,2016-04-07
159,509.799988,510.600006,503.25,504.450012,494.3508,1262329,2016-04-08
160,505.5,506,497.049988,502.149994,492.096802,2929584,2016-04-11
161,502.700012,508.850006,499.700012,501.950012,491.900818,3622355,2016-04-12
