id,Open,High,Low,Close,Adj Close,Volume,Date
31,415,425.125,413.049988,420.375,402.556122,7247674,2015-09-29
32,425.5,432.399994,419.25,431.149994,412.874359,7905330,2015-09-30
33,436.975006,436.975006,429.299988,432.350006,414.023499,3960612,2015-10-01
34,431.399994,445,430.924988,444,425.179657,7321708,2015-10-05
35,447.825012,450.25,442.875,449.024994,429.991669,5636996,2015-10-06
36,447.350006,459.024994,445.5,456.899994,437.532928,5264358,2015-10-07
37,457.450012,457.450012,443.125,444.549988,425.70639,4915978,2015-10-08
38,447.024994,452.725006,440.75,443.674988,424.868469,4264390,2015-10-09
39,444,450.799988,444,445.875,426.975189,2840098,2015-10-12
40,442.524994,448.149994,441.450012,446.799988,427.860962,2817316,2015-10-13
41,447.899994,452.5,446.975006,451.475006,432.33786,3658514,2015-10-14
42,453.850006,455.5,450.049988,451.850006,432.69693,4136660,2015-10-15
43,452.25,457.399994,451.850006,457.399994,438.011688,6970386,2015-10-16
44,470.5,482.75,470.5,481.75,461.329559,15317750,2015-10-19
45,482.5,483.350006,476.5,478.350006,458.0737,8271006,2015-10-20
46,477.75,487.399994,476.5,477.5,457.259674,6585230,2015-10-21
47,481.975006,486.524994,470.575012,477.825012,457.570953,5556136,2015-10-23
48,480.950012,481.5,470.649994,471.424988,451.442169,5000840,2015-10-26
49,469.399994,474.125,468.700012,469.774994,449.862152,5303952,2015-10-27
50,468.450012,472.450012,464.950012,468.475006,448.617249,5467128,2015-10-28
51,468,472.5,467.475006,470.5,450.556427,6071344,2015-10-29
52,471.049988,477.950012,470.049988,473.850006,453.764435,6110650,2015-10-30
53,474.5,480.75,472.600006,479.899994,459.557983,3301676,2015-11-02
54,481.625,485.225006,480.625,483.600006,463.101135,5199592,2015-11-03
55,484,487.5,473.100006,475.649994,455.488098,4586836,2015-11-04
56,474.5,475.5,466.5,468.299988,448.449677,4922518,2015-11-05
57,469.725006,477.375,468.950012,476.200012,456.014801,3825198,2015-11-06
58,466.75,482.5,461.725006,480.625,460.252289,7786320,2015-11-09
59,478.5,479.75,458.149994,461.375,441.818207,5251122,2015-11-10
